"SEASON_ID","LEAGUE_ID","YR_VAR","SEASON_CONCAT","PRE_DT","REG_START_DT","REG_END_DT","POST_START_DT","CHAMP_SERIES_START_DT","CHAMP_DT","YR","INSERT_DT"
102024,1,"2024",NBA_2024,,2023-10-25,2024-04-14,2024-04-20,,2024-06-06,2024,2025-02-02 13:05:17.985
102022,1,"2022",NBA_2022,,2021-10-19,2022-04-10,2022-04-16,,2022-06-02,2022,2025-02-02 13:05:17.985
102021,1,"2021",NBA_2021,,2020-12-22,2021-05-21,2021-05-22,,2021-06-06,2021,2025-02-02 13:05:17.985
102020,1,"2020",NBA_2020,,2019-10-24,2020-03-10,2020-08-17,,2020-09-30,2020,2025-02-02 13:05:17.985
102019,1,"2019",NBA_2019,,2018-10-16,2019-04-10,2019-04-13,,2019-05-30,2019,2025-02-02 13:05:17.985
102018,1,"2018",NBA_2018,,2017-10-17,2018-04-10,2018-04-14,,2018-05-31,2018,2025-02-02 13:05:17.985
102017,1,"2017",NBA_2017,,2016-10-25,2017-04-12,2017-04-16,,2017-06-01,2017,2025-02-02 13:05:17.985
102016,1,"2016",NBA_2016,,2015-10-27,2016-04-13,2016-04-16,,2016-06-02,2016,2025-02-02 13:05:17.985
102015,1,"2015",NBA_2015,,2014-10-29,2015-04-15,2015-04-18,,2015-06-04,2015,2025-02-02 13:05:17.985
102014,1,"2014",NBA_2014,,2013-10-30,2014-04-16,2014-04-19,,2014-06-05,2014,2025-02-02 13:05:17.985
102013,1,"2013",NBA_2013,,2012-10-31,2013-04-17,2013-04-20,,2013-06-06,2013,2025-02-02 13:05:17.985
102012,1,"2012",NBA_2012,,2011-12-25,2012-04-26,2012-04-28,,2012-06-12,2012,2025-02-02 13:05:17.985
102011,1,"2011",NBA_2011,,2010-10-27,2011-04-13,2011-04-16,,2011-05-31,2011,2025-02-02 13:05:17.985
202023,2,"2023",NFL_2023,,2023-09-07,2024-01-07,2024-01-13,,2024-02-11,2023,2025-02-02 13:05:17.985
202021,2,"2021",NFL_2021,,2021-09-09,2022-01-09,2022-01-15,,2022-02-13,2021,2025-02-02 13:05:17.985
202024,2,"2024",NFL_2024,,2024-09-05,2025-01-05,2025-01-11,,2025-02-09,2024,2025-02-02 13:05:17.985
202019,2,"2019",NFL_2019,,2019-09-05,2019-12-29,2020-01-04,,2020-02-02,2019,2025-02-02 13:05:17.985
202018,2,"2018",NFL_2018,,2018-09-06,2018-12-30,2019-01-05,,2019-02-03,2018,2025-02-02 13:05:17.985
202017,2,"2017",NFL_2017,,2017-09-07,2017-12-31,2018-01-06,,2018-02-04,2017,2025-02-02 13:05:17.985
202016,2,"2016",NFL_2016,,2016-09-08,2017-01-01,2017-01-07,,2017-02-05,2016,2025-02-02 13:05:17.985
202014,2,"2014",NFL_2014,,2014-09-04,2014-12-28,2015-01-03,,2015-02-01,2014,2025-02-02 13:05:17.985
202013,2,"2013",NFL_2013,,2013-09-05,2013-12-29,2014-01-04,,2014-02-02,2013,2025-02-02 13:05:17.985
202012,2,"2012",NFL_2012,,2012-09-05,2012-12-30,2013-01-05,,2013-02-03,2012,2025-02-02 13:05:17.985
302024,3,"2024",NHL_2024,,2023-10-10,2024-04-18,2024-04-20,,2024-06-08,2024,2025-02-02 13:05:17.985
302022,3,"2022",NHL_2022,,2021-10-12,2022-05-01,2022-05-02,,2022-06-15,2022,2025-02-02 13:05:17.985
302020,3,"2020",NHL_2020,,2019-10-02,2020-03-11,2020-08-01,,2020-09-19,2020,2025-02-02 13:05:17.985
302019,3,"2019",NHL_2019,,2018-10-03,2019-04-06,2019-04-10,,2019-05-27,2019,2025-02-02 13:05:17.985
302018,3,"2018",NHL_2018,,2017-10-04,2018-04-08,2018-04-11,,2018-05-28,2018,2025-02-02 13:05:17.985
302016,3,"2016",NHL_2016,,2015-10-07,2016-04-10,2016-04-13,,2016-05-30,2016,2025-02-02 13:05:17.985
302014,3,"2014",NHL_2014,,2013-10-01,2014-04-13,2014-04-16,,2014-06-04,2014,2025-02-02 13:05:17.985
302012,3,"2012",NHL_2012,,2011-10-06,2012-04-07,2012-04-11,,2012-05-30,2012,2025-02-02 13:05:17.985
302011,3,"2011",NHL_2011,,2010-10-07,2011-04-10,2011-04-13,,2011-06-01,2011,2025-02-02 13:05:17.985
602024,6,"2024",CBB_2024,,2023-11-06,2024-03-09,2024-03-19,,2024-04-08,2024,2025-02-02 13:05:17.985
602023,6,"2023",CBB_2023,,2022-11-07,2023-03-04,2023-03-14,,2023-04-03,2023,2025-02-02 13:05:17.985
602022,6,"2022",CBB_2022,,2021-11-09,2022-03-05,2022-03-15,,2022-04-04,2022,2025-02-02 13:05:17.985
602021,6,"2021",CBB_2021,,2020-11-25,2021-03-06,2021-03-18,,2021-04-05,2021,2025-02-02 13:05:17.985
602018,6,"2018",CBB_2018,,2017-11-10,2018-03-04,2018-03-13,,2018-04-02,2018,2025-02-02 13:05:17.985
602017,6,"2017",CBB_2017,,2016-11-11,2017-03-05,2017-03-14,,2017-04-03,2017,2025-02-02 13:05:17.985
602016,6,"2016",CBB_2016,,2015-11-13,2016-03-06,2016-03-15,,2016-04-04,2016,2025-02-02 13:05:17.985
602015,6,"2015",CBB_2015,,2014-11-14,2015-03-07,2015-03-17,,2015-04-06,2015,2025-02-02 13:05:17.985
602014,6,"2014",CBB_2014,,2013-11-08,2014-03-08,2014-03-18,,2014-04-07,2014,2025-02-02 13:05:17.985
602013,6,"2013",CBB_2013,,2012-11-09,2013-03-09,2013-03-19,,2013-04-08,2013,2025-02-02 13:05:17.985
302015,3,"2015",NHL_2015,,2014-09-30,2015-04-11,2015-04-15,,2015-06-03,2015,2025-02-02 13:05:17.985
202022,2,"2022",NFL_2022,,2022-09-08,2023-01-08,2023-01-14,,2023-02-12,2022,2025-02-02 13:05:17.985
402023,4,"2023",MLB_2023,,2023-03-27,2023-10-01,2023-10-03,,2023-10-27,2023,2025-02-02 13:05:17.985
402022,4,"2022",MLB_2022,,2022-04-05,2022-10-05,2022-10-07,,2022-10-28,2022,2025-02-02 13:05:17.985
402021,4,"2021",MLB_2021,,2021-03-29,2021-10-03,2021-10-06,,2021-10-26,2021,2025-02-02 13:05:17.985
402020,4,"2020",MLB_2020,,2020-07-21,2020-09-27,2020-09-30,,2020-10-20,2020,2025-02-02 13:05:17.985
302017,3,"2017",NHL_2017,,2016-10-06,2017-04-09,2017-04-12,,2017-05-29,2017,2025-02-02 13:05:17.985
402018,4,"2018",MLB_2018,,2018-03-26,2018-09-30,2018-10-02,,2018-10-23,2018,2025-02-02 13:05:17.985
402017,4,"2017",MLB_2017,,2017-03-31,2017-10-01,2017-10-04,,2017-10-24,2017,2025-02-02 13:05:17.985
402016,4,"2016",MLB_2016,,2016-04-01,2016-10-02,2016-10-05,,2016-10-25,2016,2025-02-02 13:05:17.985
402015,4,"2015",MLB_2015,,2015-04-03,2015-10-04,2015-10-07,,2015-10-27,2015,2025-02-02 13:05:17.985
402019,4,"2019",MLB_2019,,2019-03-16,2019-09-29,2019-10-01,,2019-10-22,2019,2025-02-02 13:05:17.985
302013,3,"2013",NHL_2013,,2012-10-05,2013-04-28,2013-04-30,,2013-06-12,2013,2025-02-02 13:05:17.985
602011,6,"2011",CBB_2011,,2010-11-08,2011-03-05,2011-03-15,,2011-04-04,2011,2025-02-02 13:05:17.985
202011,2,"2011",NFL_2011,,2011-09-05,2012-01-01,2012-01-07,,2012-02-05,2011,2025-02-02 13:05:17.985
202020,2,"2020",NFL_2020,,2020-09-02,2021-01-03,2021-01-09,,2021-02-07,2020,2025-02-02 13:05:17.985
202015,2,"2015",NFL_2015,,2015-09-02,2016-01-03,2016-01-09,,2016-02-07,2015,2025-02-02 13:05:17.985
602012,6,"2012",CBB_2012,,2011-11-07,2012-03-03,2012-03-13,,2012-04-02,2012,2025-02-02 13:05:17.985
602019,6,"2019",CBB_2019,,2018-11-06,2019-03-10,2019-03-19,,2019-04-08,2019,2025-02-02 13:05:17.985
602020,6,"2020",CBB_2020,,2019-11-05,2020-03-08,2020-03-17,,2020-04-06,2020,2025-02-02 13:05:17.985
402024,4,"2024",MLB_2024,,2024-03-25,2024-09-29,2024-10-01,,2024-10-30,2024,2025-02-02 13:05:17.985
502011,5,"2011",CFB_2011,,2011-09-01,2011-12-03,2011-12-10,,2012-01-09,2011,2025-02-02 13:05:17.985
502012,5,"2012",CFB_2012,,2012-08-30,2012-12-01,2012-12-08,,2013-01-07,2012,2025-02-02 13:05:17.985
502013,5,"2013",CFB_2013,,2013-08-29,2013-12-07,2013-12-14,,2014-01-06,2013,2025-02-02 13:05:17.985
502014,5,"2014",CFB_2014,,2014-08-27,2014-12-06,2014-12-13,,2015-01-12,2014,2025-02-02 13:05:17.985
502015,5,"2015",CFB_2015,,2015-09-03,2015-12-05,2015-12-12,,2016-01-11,2015,2025-02-02 13:05:17.985
502016,5,"2016",CFB_2016,,2016-08-26,2016-12-03,2016-12-10,,2017-01-09,2016,2025-02-02 13:05:17.985
502017,5,"2017",CFB_2017,,2017-08-26,2017-12-02,2017-12-09,,2018-01-08,2017,2025-02-02 13:05:17.985
502018,5,"2018",CFB_2018,,2018-08-25,2018-12-01,2018-12-08,,2019-01-07,2018,2025-02-02 13:05:17.985
502019,5,"2019",CFB_2019,,2019-08-24,2019-12-07,2019-12-20,,2020-01-13,2019,2025-02-02 13:05:17.985
502020,5,"2020",CFB_2020,,2020-09-03,2020-12-19,2020-12-21,,2021-01-11,2020,2025-02-02 13:05:17.985
502021,5,"2021",CFB_2021,,2021-08-28,2021-12-04,2021-12-11,,2022-01-10,2021,2025-02-02 13:05:17.985
102023,1,"2023",NBA_2023,,2022-10-18,2023-04-09,2023-04-15,,2023-06-01,2023,2025-02-02 13:05:17.985
302023,3,"2023",NHL_2023,,2022-10-07,2023-04-14,2023-04-17,,2023-06-03,2023,2025-02-02 13:05:17.985
402013,4,"2013",MLB_2013,,2013-03-28,2013-09-30,2013-10-01,,2013-10-23,2013,2025-02-02 13:05:17.985
402010,4,"2010",MLB_2010,,2010-04-02,2010-10-03,2010-10-07,,2010-10-27,2010,2025-02-02 13:05:17.985
402011,4,"2011",MLB_2011,,2011-03-26,2011-09-28,2011-10-01,,2011-10-19,2011,2025-02-02 13:05:17.985
402012,4,"2012",MLB_2012,,2012-03-24,2012-10-03,2012-10-05,,2012-10-24,2012,2025-02-02 13:05:17.985
402014,4,"2014",MLB_2014,,2014-03-19,2014-09-28,2014-10-01,,2014-10-21,2014,2025-02-02 13:05:17.985
502022,5,"2022",CFB_2022,,2022-08-27,2022-12-03,2022-12-16,,2023-01-09,2022,2025-02-02 13:05:17.985
502023,5,"2023",CFB_2023,,2023-08-26,2023-12-02,2023-12-09,,2024-01-08,2023,2025-02-02 13:05:17.985
502024,5,"2024",CFB_2024,,2024-08-24,2024-11-30,2024-12-14,,2025-01-20,2024,2025-02-02 13:05:17.985
102025,1,"2025",NBA_2025,,2024-10-22,2025-04-20,2025-04-21,,2025-06-10,2025,2025-02-02 13:05:17.985
302025,3,"2025",NHL_2025,,2024-10-04,2025-04-20,2025-04-21,,2025-06-10,2025,2025-02-02 13:05:17.985
602025,6,"2025",CBB_2025,,2024-11-04,,,,2025-04-15,2025,2025-02-02 13:05:17.985
402025,4,"2025",MLB_2025,,2025-03-15,,,,2025-11-15,2025,2025-02-02 13:05:17.985
302021,3,"2021",NHL_2021,,2021-01-13,2021-05-19,2021-05-15,,2021-06-28,2021,2025-02-02 13:05:17.985
